la name,gss-code
Aberdeen City Council,S12000033
Aberdeenshire Council,S12000034
Angus Council,S12000041
Argyll and Bute Council,S12000035
City of Edinburgh Council,S12000036
Clackmannanshire Council,S12000005
Dumfries and Galloway Council,S12000006
Dumfries & Galloway Council,S12000006
Dundee City Council,S12000042
East Ayrshire Council,S12000008
East Dunbartonshire Council,S12000045
East Lothian Council,S12000010
East Renfrewshire Council,S12000011
Falkirk Council,S12000014
Fife Council,S12000015
Glasgow City Council,S12000046
Highland Council,S12000017
Inverclyde Council,S12000018
Midlothian Council,S12000019
Moray Council,S12000020
Comhairle nan Eilean Siar,S12000013
Western Isles Council,S12000013
North Ayrshire Council,S12000021
North Lanarkshire Council,S12000044
Orkney Islands Council,S12000023
Perth and Kinross Council,S12000024
Perth & Kinross Council,S12000024
Renfrewshire Council,S12000038
Scottish Borders Council,S12000026
Shetland Islands Council,S12000027
South Ayrshire Council,S12000028
South Lanarkshire Council,S12000029
Stirling Council,S12000030
West Dunbartonshire Council,S12000039
West Lothian Council,S12000040
Blaenau Gwent County Borough Council,W06000019
Bridgend County Borough Council ,W06000013
Caerphilly County Borough Council ,W06000018
The City of Cardiff Council ,W06000015
Carmarthenshire County Council ,W06000010
Ceredigion County Council ,W06000008
Conwy County Borough Council ,W06000003
Denbighshire County Council ,W06000004
Flintshire County Council ,W06000005
Gwynedd Council ,W06000002
Isle of Anglesey County Council ,W06000001
Merthyr Tydfil County Borough Council ,W06000024
Monmouthshire County Council ,W06000021
Neath Port Talbot County Borough Council ,W06000012
Newport City Council ,W06000022
Pembrokeshire County Council ,W06000009
Powys County Council ,W06000023
Rhondda Cynon Taf County Borough Council ,W06000016
City and County of Swansea ,W06000011
Torfaen County Borough Council ,W06000020
Vale of Glamorgan Council ,W06000014
Wrexham County Borough Council ,W06000006
Antrim and Newtownabbey Borough Council,N09000001
Ards and North Down Borough Council,N09000011
"Armagh City, Banbridge and Craigavon Borough Council",N09000002
Belfast City Council,N09000003
Causeway Coast and Glens Borough Council,N09000004
Derry City and Strabane District Council,N09000005
Fermanagh and Omagh District Council,N09000006
Lisburn and Castlereagh City Council,N09000007
Mid-Ulster District Council,N09000009
Mid and East Antrim Borough Council,N09000008
"Newry, Mourne and Down District Council",N09000010
